word,tag
to,PRT
be,VERB
held,VERB
sept.,NOUN
8,NUM
in,ADP
savannah,NOUN
at,ADP
which,DET
newly,ADV
elected,VERB
texas,NOUN
sen.,NOUN
john,NOUN
tower,NOUN
will,VERB
be,VERB
the,DET
featured,VERB
speaker,NOUN
!,ADJ
in,ADP
the,DET
blue,ADJ
ridge,NOUN
meeting,NOUN
!,ADJ
the,DET
audience,NOUN
was,VERB
warned,VERB
that,ADP
entering,VERB
a,DET
candidate,NOUN
for,ADP
governor,NOUN
would,VERB
force,VERB
it,PRON
to,PRT
take,VERB
petitions,NOUN
out,PRT
into,ADP
voting,VERB
precincts,NOUN
to,PRT
obtain,VERB
the,DET
signatures,NOUN
of,ADP
registered,VERB
voters,NOUN
!,ADJ
despite,ADP
the,DET
warning,VERB
!,ADJ
there,PRT
was,VERB
a,DET
unanimous,ADJ
vote,NOUN
to,PRT
enter,VERB
a,DET
candidate,NOUN
!,ADJ
according,ADP
to,ADP
republicans,NOUN
who,PRON
attended,VERB
!,ADJ
when,ADV
the,DET
crowd,NOUN
was,VERB
asked,VERB
whether,ADP
it,PRON
wanted,VERB
to,PRT
wait,VERB
one,NUM
more,ADJ
term,NOUN
to,PRT
make,VERB
the,DET
race,NOUN
!,ADJ
it,PRON
voted,VERB
no,ADV
!,ADJ
and,CONJ
there,PRT
were,VERB
no,DET
dissents,NOUN
!,ADJ
the,DET
largest,ADJ
hurdle,NOUN
the,DET
republicans,NOUN
would,VERB
have,VERB
to,PRT
face,VERB
is,VERB
a,DET
state,NOUN
law,NOUN
which,DET
says,VERB
that,ADP
before,ADP
making,VERB
a,DET
first,ADJ
race,NOUN
!,ADJ
one,NUM
of,ADP
two,NUM
alternative,ADJ
courses,NOUN
must,VERB
be,VERB
taken,VERB
!,ADJ
1,NUM
five,NUM
per,ADP
cent,NOUN
of,ADP
the,DET
voters,NOUN
in,ADP
each,DET
county,NOUN
must,VERB
sign,VERB
petitions,NOUN
requesting,VERB
that,ADP
the,DET
republicans,NOUN
be,VERB
allowed,VERB
to,PRT
place,VERB
names,NOUN
of,ADP
candidates,NOUN
on,ADP
the,DET
general,ADJ
election,NOUN
ballot,NOUN
!,ADJ
or,CONJ
2,NUM
the,DET
republicans,NOUN
must,VERB
hold,VERB
a,DET
primary,NOUN
under,ADP
the,DET
county,NOUN
unit,NOUN
system,NOUN
!,ADJ
a,DET
system,NOUN
which,DET
the,DET
party,NOUN
opposes,VERB
in,ADP
its,DET
platform,NOUN
!,ADJ
sam,NOUN
caldwell,NOUN
!,ADJ
state,NOUN
highway,NOUN
department,NOUN
public,ADJ
relations,NOUN
director,NOUN
!,ADJ
resigned,VERB
tuesday,NOUN
to,PRT
work,VERB
for,ADP
lt.,NOUN
gov.,NOUN
garland,NOUN
byrd's,NOUN
campaign,NOUN
!,ADJ
caldwell's,NOUN
resignation,NOUN
had,VERB
been,VERB
expected,VERB
for,ADP
some,DET
time,NOUN
!,ADJ
he,PRON
will,VERB
be,VERB
succeeded,VERB
by,ADP
rob,NOUN
ledford,NOUN
of,ADP
gainesville,NOUN
!,ADJ
who,PRON
has,VERB
been,VERB
an,DET
assistant,NOUN
more,ADJ
than,ADP
three,NUM
years,NOUN
!,ADJ
when,ADV
the,DET
gubernatorial,ADJ
campaign,NOUN
starts,VERB
!,ADJ
caldwell,NOUN
is,VERB
expected,VERB
to,PRT
become,VERB
a,DET
campaign,NOUN
coordinator,NOUN
for,ADP
byrd,NOUN
!,ADJ
the,DET
georgia,NOUN
legislature,NOUN
will,VERB
wind,VERB
up,PRT
its,DET
1961,NUM
session,NOUN
monday,NOUN
and,CONJ
head,VERB
for,ADP
home,NOUN
!,ADJ
where,ADV
some,DET
of,ADP
the,DET
highway,NOUN
bond,NOUN
money,NOUN
it,PRON
approved,VERB
will,VERB
follow,VERB
shortly,ADV
!,ADJ
before,ADP
adjournment,NOUN
monday,NOUN
afternoon,NOUN
!,ADJ
the,DET
senate,NOUN
is,VERB
expected,VERB
to,PRT
approve,VERB
a,DET
study,NOUN
of,ADP
the,DET
number,NOUN
of,ADP
legislators,NOUN
allotted,VERB
to,ADP
rural,ADJ
and,CONJ
urban,ADJ
areas,NOUN
to,PRT
determine,VERB
what,DET
adjustments,NOUN
should,VERB
be,VERB
made,VERB
!,ADJ
gov.,NOUN
vandiver,NOUN
is,VERB
expected,VERB
to,PRT
make,VERB
the,DET
traditional,ADJ
visit,NOUN
to,ADP
both,DET
chambers,NOUN
as,ADP
they,PRON
work,VERB
toward,ADP
adjournment,NOUN
!,ADJ
vandiver,NOUN
likely,ADV
will,VERB
mention,VERB
the,DET
$100,NOUN
million,NUM
highway,NOUN
bond,NOUN
issue,NOUN
approved,VERB
earlier,ADV
in,ADP
the,DET
session,NOUN
as,ADP
his,DET
first,ADJ
priority,NOUN
item,NOUN
!,ADJ
construction,NOUN
bonds,NOUN
meanwhile,ADV
!,ADJ
it,PRON
was,VERB
learned,VERB
the,DET
state,NOUN
highway,NOUN
department,NOUN
is,VERB
very,ADV
near,ADV
being,VERB
ready,ADJ
to,PRT
issue,VERB
the,DET
first,ADJ
$30,NOUN
million,NUM
worth,NOUN
of,ADP
highway,NOUN
reconstruction,NOUN
bonds,NOUN
!,ADJ
the,DET
bond,NOUN
issue,NOUN
will,VERB
go,VERB
to,ADP
the,DET
state,NOUN
courts,NOUN
for,ADP
a,DET
friendly,ADJ
test,NOUN
suit,NOUN
to,PRT
test,VERB
the,DET
validity,NOUN
of,ADP
the,DET
act,NOUN
!,ADJ
and,CONJ
then,ADV
the,DET
sales,NOUN
will,VERB
begin,VERB
and,CONJ
contracts,NOUN
let,VERB
for,ADP
repair,NOUN
work,NOUN
on,ADP
some,DET
of,ADP
georgia's,NOUN
most,ADV
heavily,ADV
traveled,VERB
highways,NOUN
!,ADJ
a,DET
highway,NOUN
department,NOUN
source,NOUN
said,VERB
there,PRT
also,ADV
is,VERB
a,DET
plan,NOUN
there,ADV
to,PRT
issue,VERB
some,DET
$3,NOUN
million,NUM
to,ADP
$4,NOUN
million,NUM
worth,NOUN
of,ADP
rural,ADJ
roads,NOUN
authority,NOUN
bonds,NOUN
for,ADP
rural,ADJ
road,NOUN
construction,NOUN
work,NOUN
!,ADJ
a,DET
revolving,VERB
fund,NOUN
the,DET
department,NOUN
apparently,ADV
intends,VERB
to,PRT
make,VERB
the,DET
rural,ADJ
roads,NOUN
authority,NOUN
a,DET
revolving,VERB
fund,NOUN
under,ADP
which,DET
new,ADJ
bonds,NOUN
would,VERB
be,VERB
issued,VERB
every,DET
time,NOUN
a,DET
portion,NOUN
of,ADP
the,DET
old,ADJ
ones,NOUN
are,VERB
paid,VERB
off,PRT
by,ADP
tax,NOUN
authorities,NOUN
!,ADJ
vandiver,NOUN
opened,VERB
his,DET
race,NOUN
for,ADP
governor,NOUN
in,ADP
1958,NUM
with,ADP
a,DET
battle,NOUN
in,ADP
the,DET
legislature,NOUN
against,ADP
the,DET
issuance,NOUN
of,ADP
$50,NOUN
million,NUM
worth,NOUN
of,ADP
additional,ADJ
rural,ADJ
roads,NOUN
bonds,NOUN
proposed,VERB
by,ADP
then,ADV
gov.,NOUN
marvin,NOUN
griffin,NOUN
!,ADJ
the,DET
highway,NOUN
department,NOUN
source,NOUN
told,VERB
the,DET
constitution,NOUN
!,ADJ
however,ADV
!,ADJ
that,ADP
vandiver,NOUN
has,VERB
not,ADV
been,VERB
consulted,VERB
yet,ADV
about,ADP
the,DET
plans,NOUN
to,PRT
issue,VERB
the,DET
new,ADJ
rural,ADJ
roads,NOUN
bonds,NOUN
!,ADJ
schley,NOUN
county,NOUN
rep.,NOUN
b.,NOUN
d.,NOUN
pelham,NOUN
will,VERB
offer,VERB
a,DET
resolution,NOUN
monday,NOUN
in,ADP
the,DET
house,NOUN
to,PRT
rescind,VERB
the,DET
body's,NOUN
action,NOUN
of,ADP
friday,NOUN
in,ADP
voting,VERB
itself,PRON
a,DET
$10,NOUN
per,ADP
day,NOUN
increase,NOUN
in,ADP
expense,NOUN
allowances,NOUN
!,ADJ
pelham,NOUN
said,VERB
sunday,NOUN
night,NOUN
there,PRT
was,VERB
research,NOUN
being,VERB
done,VERB
on,ADP
whether,ADP
the,DET
!,ADJ
quickie,NOUN
!,ADJ
vote,NOUN
on,ADP
the,DET
increase,NOUN
can,VERB
be,VERB
repealed,VERB
outright,ADV
or,CONJ
whether,ADP
notice,NOUN
would,VERB
have,VERB
to,PRT
first,ADV
be,VERB
given,VERB
that,ADP
reconsideration,NOUN
of,ADP
the,DET
action,NOUN
would,VERB
be,VERB
sought,VERB
!,ADJ
while,ADP
emphasizing,VERB
that,ADP
technical,ADJ
details,NOUN
were,VERB
not,ADV
fully,ADV
worked,VERB
out,PRT
!,ADJ
pelham,NOUN
said,VERB
his,DET
resolution,NOUN
would,VERB
seek,VERB
to,PRT
set,VERB
aside,ADV
the,DET
privilege,NOUN
resolution,NOUN
which,DET
the,DET
house,NOUN
voted,VERB
through,ADP
87-31,NUM
!,ADJ
a,DET
similar,ADJ
resolution,NOUN
passed,VERB
in,ADP
the,DET
senate,NOUN
by,ADP
a,DET
vote,NOUN
of,ADP
29-5,NUM
!,ADJ
as,ADP
of,ADP
sunday,NOUN
night,NOUN
!,ADJ
there,PRT
was,VERB
no,DET
word,NOUN
of,ADP
a,DET
resolution,NOUN
being,VERB
offered,VERB
there,ADV
to,PRT
rescind,VERB
the,DET
action,NOUN
!,ADJ
pelham,NOUN
pointed,VERB
out,PRT
that,ADP
georgia,NOUN
voters,NOUN
last,ADJ
november,NOUN
rejected,VERB
a,DET
constitutional,ADJ
amendment,NOUN
to,PRT
allow,VERB
legislators,NOUN
to,PRT
vote,VERB
on,ADP
pay,NOUN
raises,NOUN
for,ADP
future,ADJ
legislature,NOUN
sessions,NOUN
!,ADJ
a,DET
veteran,ADJ
jackson,NOUN
county,NOUN
legislator,NOUN
will,VERB
ask,VERB
the,DET
georgia,NOUN
house,NOUN
monday,NOUN
to,PRT
back,VERB
federal,ADJ
aid,NOUN
to,ADP
education,NOUN
!,ADJ
something,NOUN
it,PRON
has,VERB
consistently,ADV
opposed,VERB
in,ADP
the,DET
past,NOUN
!,ADJ
rep.,NOUN
mac,NOUN
barber,NOUN
of,ADP
commerce,NOUN
is,VERB
asking,VERB
the,DET
house,NOUN
in,ADP
a,DET
privilege,NOUN
resolution,NOUN
to,PRT
!,ADJ
endorse,VERB
increased,VERB
federal,ADJ
support,NOUN
for,ADP
public,ADJ
education,NOUN
!,ADJ
provided,VERB
that,ADP
such,ADJ
funds,NOUN
be,VERB
received,VERB
and,CONJ
expended,VERB
!,ADJ
as,ADP
state,NOUN
funds,NOUN
!,ADJ
barber,NOUN
!,ADJ
who,PRON
is,VERB
in,ADP
his,DET
13th,ADJ
year,NOUN
as,ADP
a,DET
legislator,NOUN
!,ADJ
said,VERB
there,PRT
!,ADJ
are,VERB
some,DET
members,NOUN
of,ADP
our,DET
congressional,ADJ
delegation,NOUN
in,ADP
washington,NOUN
who,PRON
would,VERB
like,VERB
to,PRT
see,VERB
it,PRON
!,ADJ
the,DET
resolution,NOUN
!,ADJ
passed,VERB
!,ADJ
!,ADJ
but,CONJ
he,PRON
added,VERB
that,ADP
none,NOUN
of,ADP
georgia's,NOUN
congressmen,NOUN
specifically,ADV
asked,VERB
him,PRON
to,PRT
offer,VERB
the,DET
resolution,NOUN
!,ADJ
the,DET
resolution,NOUN
!,ADJ
which,DET
barber,NOUN
tossed,VERB
into,ADP
the,DET
house,NOUN
hopper,NOUN
friday,NOUN
!,ADJ
will,VERB
be,VERB
formally,ADV
read,VERB
monday,NOUN
!,ADJ
it,PRON
says,VERB
that,ADP
!,ADJ
in,ADP
the,DET
event,NOUN
congress,NOUN
does,VERB
provide,VERB
this,DET
increase,NOUN
in,ADP
federal,ADJ
funds,NOUN
!,ADJ
!,ADJ
the,DET
state,NOUN
board,NOUN
of,ADP
education,NOUN
should,VERB
be,VERB
directed,VERB
to,PRT
!,ADJ
give,VERB
priority,NOUN
!,ADJ
to,ADP
teacher,NOUN
pay,NOUN
raises,NOUN
!,ADJ
colquitt,NOUN
!,ADJ
after,ADP
a,DET
long,ADJ
!,ADJ
hot,ADJ
controversy,NOUN
!,ADJ
miller,NOUN
county,NOUN
has,VERB
a,DET
new,ADJ
school,NOUN
superintendent,NOUN
!,ADJ
elected,VERB
!,ADJ
as,ADP
a,DET
policeman,NOUN
put,VERB
it,PRON
!,ADJ
in,ADP
the,DET
!,ADJ
coolest,ADJ
election,NOUN
i,PRON
ever,ADV
saw,VERB
in,ADP
this,DET
county,NOUN
!,ADJ
!,ADJ
the,DET
new,ADJ
school,NOUN
superintendent,NOUN
is,VERB
harry,NOUN
davis,NOUN
!,ADJ
a,DET
veteran,ADJ
agriculture,NOUN
teacher,NOUN
!,ADJ
who,PRON
defeated,VERB
felix,NOUN
bush,NOUN
!,ADJ
a,DET
school,NOUN
principal,NOUN
and,CONJ
chairman,NOUN
of,ADP
the,DET
miller,NOUN
county,NOUN
democratic,ADJ
executive,ADJ
committee,NOUN
!,ADJ
davis,NOUN
received,VERB
"1,119",NUM
